group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC001,1,extinction,109,110,30,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,110,111,29,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,111,112,9,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,112,113,6,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,113,114,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,114,115,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,115,116,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,116,117,15,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,117,118,27,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,118,119,28,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,119,120,30,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,120,121,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,121,122,18,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,122,123,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,123,124,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,124,125,23,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,125,126,15,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,126,127,18,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,127,128,4,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,128,129,10,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,129,130,25,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,130,131,28,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,131,132,27,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,132,133,31,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,133,134,21,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,134,135,5,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
